combo_id,cause,condition_1,condition_2,condition_3,bonus_score,combo_type,combo_evidence,enabled
C001,污染,abnormality=阴性对照有带,negative_control=目标大小相近带,text_hint=污染,35,support,阴性对照出现与目标大小相近条带且文本提示污染，强支持污染,1
C002,污染,abnormality=阴性对照有带,negative_control=目标大小相近带,text_hint=普通台面配液,25,support,阴性对照异常且存在普通台面配液等高风险操作，支持污染,1
C003,污染,abnormality=阴性对照有带,negative_control=无带,,25,contradict,阴性对照无带时不支持污染判断,1
C004,模板量不足,abnormality=条带弱,template_condition=偏低,positive_control=正常,30,support,条带弱且模板量偏低，同时阳性对照正常，强支持模板量不足,1
C005,模板量不足,abnormality=无条带,template_condition=偏低,positive_control=正常,28,support,无条带且模板量偏低，同时阳性对照正常，支持模板量不足,1
C006,模板量不足,positive_control=无带,template_condition=偏低,,22,contradict,阳性对照本身无带时，不能优先归因为模板量不足,1
C007,模板质量差或含抑制物,abnormality=条带拖尾或弥散,template_condition=降解或不纯,text_hint=模板差,30,support,拖尾或弥散结合模板质量差线索，强支持模板质量问题或抑制物干扰,1
C008,模板质量差或含抑制物,abnormality=无条带,template_condition=降解或不纯,positive_control=正常,26,support,无条带且模板状态差而阳性对照正常，支持模板质量问题,1
C009,PCR体系漏加或关键试剂失活,positive_control=无带,negative_control=无带,text_hint=漏加试剂,38,support,阳性对照无带且阴性对照无带并伴随漏加试剂线索，强支持体系问题,1
C010,PCR体系漏加或关键试剂失活,positive_control=无带,negative_control=无带,abnormality=阳性对照无带,35,support,阳性对照失效且阴性对照无带时，应优先排查体系与关键试剂,1
C011,PCR体系漏加或关键试剂失活,positive_control=正常,negative_control=无带,,18,contradict,阳性对照正常且阴性对照无带时，不优先支持体系整体失败,1
C012,退火温度过高,abnormality=无条带,annealing_temp_condition=偏高,positive_control=正常,30,support,无条带且退火温度偏高、阳性对照正常时，支持退火温度过高,1
C013,退火温度过高,abnormality=条带弱,annealing_temp_condition=偏高,positive_control=正常,24,support,条带弱且退火温度偏高、对照正常时，支持退火温度过高,1
C014,退火温度过低,abnormality=多条带或非特异扩增,annealing_temp_condition=偏低,positive_control=正常,32,support,多条带伴随退火温度偏低，强支持退火温度过低导致非特异扩增,1
C015,退火温度过低,band_pattern=primer_dimer_like,annealing_temp_condition=偏低,negative_control=小分子弱带,28,support,低分子量小带且退火温度偏低时，支持低特异性扩增或引物二聚体,1
C016,引物失效或设计不佳,abnormality=条带大小不对,text_hint=引物问题,,35,support,条带大小异常并伴随引物问题线索，强支持引物设计或引物状态异常,1
C017,引物失效或设计不佳,abnormality=多条带或非特异扩增,text_hint=引物问题,positive_control=正常,26,support,多条带且文本提示引物问题，同时对照正常，支持引物特异性不足,1
C018,引物二聚体或非特异性扩增,negative_control=小分子弱带,band_pattern=primer_dimer_like,annealing_temp_condition=偏低,34,support,阴性对照低分子量小带且主样本表现为小带，支持引物二聚体或低特异性扩增,1
C019,引物二聚体或非特异性扩增,negative_control=目标大小相近带,band_pattern=primer_dimer_like,,18,contradict,阴性对照若为目标大小相近条带，更应警惕污染而非单纯引物二聚体,1
C020,循环参数不合适,abnormality=条带弱,text_hint=循环偏少,positive_control=正常,22,support,条带弱且文本提示循环偏少，支持循环参数偏弱,1
C021,循环参数不合适,abnormality=多条带或非特异扩增,text_hint=循环偏多,positive_control=正常,22,support,多条带且循环偏多，支持循环数过高放大非特异产物,1
C022,电泳或上样问题,abnormality=条带拖尾或弥散,text_hint=电泳问题,text_hint=上样过量,26,support,拖尾或弥散并伴随电泳或上样异常线索，支持电泳或上样问题,1
