rule_id,abnormality,band_pattern,cause,priority,positive_control,negative_control,template_condition,annealing_temp_condition,text_hint,required_fields,base_score,evidence_text,suggestion,enabled
R001,无条带,no_band,模板量不足,80,正常,无带,偏低,any,any,positive_control|negative_control|template_condition,78,阳性对照正常且阴性对照无带，样本无条带并伴随模板量偏低，支持模板量不足,增加模板输入量并复核模板定量结果，必要时重新提取模板,1
R002,无条带,no_band,模板质量差或含抑制物,82,正常,无带,降解或不纯,any,模板差,positive_control|negative_control|template_condition,82,阳性对照正常且阴性对照无带，样本无条带并提示模板降解或存在抑制物，支持模板质量问题,重新纯化模板或更换模板制备方法，必要时做模板完整性检测,1
R003,无条带,no_band,PCR体系漏加或关键试剂失活,95,无带,无带,any,any,漏加试剂,positive_control|negative_control,92,阳性对照和样本均无带且阴性对照无带，强提示体系漏加或关键试剂失活,重新配制PCR体系并重点核查聚合酶、dNTP、引物和模板是否加入,1
R004,无条带,no_band,PCR体系漏加或关键试剂失活,93,弱带,无带,any,any,漏加试剂,positive_control|negative_control,80,阳性对照表现异常且阴性对照无带，提示体系整体效率不足或关键试剂部分失活,重新配制体系并更换关键试剂后复测,1
R005,无条带,no_band,退火温度过高,75,正常,无带,any,偏高,退火偏高,positive_control|negative_control|annealing_temp_condition,72,阳性对照正常且阴性对照无带，样本无条带并伴随退火温度偏高，支持退火温度过高,适当下调退火温度并做梯度PCR优化,1
R006,无条带,no_band,引物失效或设计不佳,78,正常,无带,any,any,引物问题,positive_control|negative_control|text_hint,70,对照基本正常但文本线索提示引物问题，样本无条带时需考虑引物失效或设计不佳,检查引物保存状态与设计参数，必要时重新设计或更换引物,1
R007,条带弱,weak,模板量不足,82,正常,无带,偏低,any,模板低,positive_control|negative_control|template_condition,80,阳性对照正常且阴性对照无带，样本条带弱并伴随模板量偏低，支持模板量不足,提高模板加入量并确认模板定量是否准确,1
R008,条带弱,weak,模板质量差或含抑制物,84,正常,无带,降解或不纯,any,模板差,positive_control|negative_control|template_condition,82,阳性对照正常时样本条带弱且模板状态差，提示模板降解或有抑制物干扰扩增,重新纯化模板并避免提取过程中引入抑制物,1
R009,条带弱,weak,退火温度过高,74,正常,无带,any,偏高,退火偏高,positive_control|negative_control|annealing_temp_condition,70,阳性对照正常且阴性对照无带，条带弱并伴随退火温度偏高，支持退火过严导致扩增效率下降,下调退火温度并观察目标条带强度变化,1
R010,条带弱,weak,循环参数不合适,72,正常,无带,any,any,循环偏少,positive_control|negative_control|text_hint,68,对照正常但文本提示循环数偏少，条带弱时可考虑扩增循环不足,适当增加循环数并保持其他条件不变验证,1
R011,条带弱,weak,PCR体系漏加或关键试剂失活,88,弱带,无带,any,any,漏加试剂,positive_control|negative_control,78,阳性对照亦表现为弱带，提示体系整体效率下降或关键试剂部分失活,更换关键试剂并重新配置体系,1
R012,多条带或非特异扩增,multiple,退火温度过低,83,正常,无带,any,偏低,退火偏低,positive_control|negative_control|annealing_temp_condition,82,多条带且退火温度偏低时，常见原因为引物结合特异性下降导致非特异扩增,上调退火温度并做梯度PCR优化,1
R013,多条带或非特异扩增,multiple,引物失效或设计不佳,86,正常,无带,any,any,引物问题,positive_control|negative_control|text_hint,78,对照正常而样本多条带，结合引物问题线索时，支持引物设计不佳或特异性不足,重新评估引物设计，避免二聚体和错配结合,1
R014,多条带或非特异扩增,multiple,循环参数不合适,70,正常,无带,any,any,循环偏多,positive_control|negative_control|text_hint,66,循环数偏多会放大低水平非特异产物，从而出现多条带,适当减少循环数并复核特异性,1
R015,条带大小不对,unexpected_size,引物失效或设计不佳,90,正常,无带,any,any,引物问题,positive_control|negative_control|text_hint,85,条带大小明显偏离预期时，优先考虑引物设计问题或错误扩增位点,核查引物序列、退火区域和理论产物长度,1
R016,条带拖尾或弥散,smear,模板质量差或含抑制物,84,正常,无带,降解或不纯,any,模板差,positive_control|negative_control|template_condition,82,条带拖尾或弥散且模板质量较差时，常提示模板降解或杂质抑制扩增,重新纯化模板并控制提取质量,1
R017,条带拖尾或弥散,smear,电泳或上样问题,78,正常,无带,any,any,电泳问题|上样过量,positive_control|negative_control|text_hint,76,对照基本正常而出现拖尾或弥散，结合电泳或上样异常线索时，支持电泳或上样问题,检查凝胶浓度、电压、缓冲液状态及上样量是否合适,1
R018,阴性对照有带,any,污染,100,any,目标大小相近带,any,any,污染,negative_control,95,阴性对照出现与目标大小接近的条带时，优先考虑模板或扩增产物污染,更换枪头与试剂，分区操作并重新配制体系,1
R019,阴性对照有带,primer_dimer_like,引物二聚体或非特异性扩增,88,any,小分子弱带,any,any,引物问题,negative_control,82,阴性对照出现低分子量弱带时，较常见为引物二聚体，而不一定是真实模板污染,优化引物浓度和退火温度，必要时重新设计引物,1
R020,阴性对照有带,smear,污染,92,any,拖尾或弥散,any,any,污染|操作不规范,negative_control,78,阴性对照出现拖尾或弥散提示体系背景异常或污染风险升高,加强分区操作并更换可疑试剂后复测,1
R021,阳性对照无带,no_band,PCR体系漏加或关键试剂失活,100,无带,无带,any,any,漏加试剂,positive_control|negative_control,96,阳性对照无带时优先排查体系漏加、酶失活或程序设置错误，此时样本判断需高度谨慎,先修复体系和程序问题，再重新评价样本结果,1
R022,阳性对照无带,no_band,退火温度过高,68,无带,无带,any,偏高,退火偏高,positive_control|annealing_temp_condition,60,若阳性对照无带且退火温度明显偏高，可考虑程序设置过严导致扩增失败,降低退火温度并用阳性对照优先验证程序,1
R023,阳性对照无带,weak,循环参数不合适,72,弱带,无带,any,any,循环偏少,positive_control|negative_control|text_hint,64,阳性对照仅表现为弱带时，可考虑循环数不足或扩增程序偏弱,适当提高循环数或优化程序后再判断样本,1
R024,条带弱,primer_dimer_like,引物二聚体或非特异性扩增,76,正常,小分子弱带,any,偏低,引物问题|退火偏低,negative_control|annealing_temp_condition,72,低分子量小带结合条带弱和退火偏低，更支持引物二聚体或低特异性扩增,适当提高退火温度并降低引物浓度,1
R025,条带畸形,distorted,上样量过高或盐浓度过高,75,正常,无带,any,any,上样过量|电泳问题,positive_control|negative_control|text_hint,72,条带过宽或横向扩散，常见于上样量过高或样品盐浓度过高,适当减少上样体积，检查样品盐浓度，必要时脱盐处理,1
R026,条带畸形,distorted,条带位置偏移（Marker异常或产物降解/未酶切）,70,正常,无带,any,any,Marker异常|模板差|产物未酶切,positive_control|negative_control|text_hint,70,条带大小与预期不符，可能为Marker异常、产物降解或未酶切,对比Marker状态，核对目的序列，检查模板完整性,1
R027,条带畸形,distorted,凝胶不均或电泳散热不良,80,正常,无带,any,any,电泳问题,positive_control|negative_control|text_hint,75,条带呈弧形或左右高低不一，常见于凝胶不均或电泳散热不良,重新水平灌胶，降低电压并确保散热,1
